Timestamp,Blockchain,Token,Token_Price_USD,Manual_Profit_USD,Automated_Profit_USD,Gas_Fee_USD,Profit_After_Fee_USD,Profit_to_Gas_Ratio,Opportunity_Score,Liquidity_USD,Arbitrage_Spread_%,Monitoring_Type,ROI_%,Opportunity_Type,Data_Source,Notes
2025-01-01 00:00:00,Ethereum,XRP,1123.93,143.1,181.04,13.53,129.57,9.58,49.36,12421185.22,1.45,Manual,11.53,Same-Chain,CoinMarketCap,Fast execution
2025-01-01 00:00:00,Ethereum,XRP,62.24,145.79,188.25,4.9,183.35,37.42,50.91,9206955.35,0.65,Automated,294.59,Cross-Chain,CoinGecko,"Low gas, stable profit"
2025-01-02 00:00:00,Ethereum,XRP,1835.75,29.53,47.68,8.34,21.19,2.54,67.36,12255876.81,0.19,Manual,1.15,Cross-Chain,Chainlink,High volatility observed
2025-01-02 00:00:00,Ethereum,XRP,1822.83,33.87,41.8,21.36,20.44,0.96,97.94,14000427.5,0.94,Automated,1.12,Cross-Chain,CoinGecko,"High gas, moderate spread"
2025-01-03 00:00:00,Ethereum,XRP,366.55,79.32,85.87,20.47,58.85,2.87,55.53,11387495.31,0.45,Manual,16.06,Same-Chain,CoinMarketCap,Low liquidity risk
2025-01-03 00:00:00,Ethereum,XRP,2908.77,118.52,165.8,20.15,145.65,7.23,75.87,1859318.49,0.72,Automated,5.01,Cross-Chain,CoinGecko,Fast execution
2025-01-04 00:00:00,Ethereum,XRP,1166.34,47.99,90.28,8.12,39.87,4.91,56.86,2416462.23,1.98,Manual,3.42,Cross-Chain,CoinMarketCap,Fast execution
2025-01-04 00:00:00,Ethereum,XRP,2316.85,37.82,43.07,18.38,24.69,1.34,82.41,7810848.84,0.32,Automated,1.07,Cross-Chain,CoinGecko,Low liquidity risk
2025-01-05 00:00:00,Ethereum,XRP,2589.38,97.26,117.15,1.57,95.69,60.95,58.66,17857042.11,1,Manual,3.7,Cross-Chain,CoinGecko,Fast execution
2025-01-05 00:00:00,Ethereum,XRP,359.22,109.85,149.09,12.69,136.4,10.75,86.26,1482963.41,0.3,Automated,37.97,Same-Chain,Chainlink,"Low gas, stable profit"
2025-01-06 00:00:00,Ethereum,XRP,94.77,99.1,118.25,11.52,87.58,7.6,94.45,5347165.14,0.25,Manual,92.41,Cross-Chain,Chainlink,High volatility observed
2025-01-06 00:00:00,Ethereum,XRP,869.61,32.57,79.41,18.21,61.2,3.36,78,17958620.97,1.12,Automated,7.04,Same-Chain,CoinGecko,Low liquidity risk
